date,anchor,var,tempest,anchor,offset
2026-06-11,KAHN,temp,80.42,84.88,-4.46
2026-06-11,KAHN,wind,1.66,1.23,0.43
2026-06-11,KWDR,pressure,1012.63,1016.7,-4.07
2026-06-11,KWDR,rh,77.84,64.78,13.06
2026-06-11,KWDR,temp,80.42,84.67,-4.25
2026-06-11,WATUGA,pressure,1012.63,1020.66,-8.02
2026-06-11,WATUGA,rh,77.84,85.2,-7.36
2026-06-11,WATUGA,temp,80.42,78.25,2.17
2026-06-11,WATUGA,wind,1.66,2.3,-0.64
2026-06-12,KAHN,pressure,1012.15,1015.72,-3.57
2026-06-12,KAHN,rh,72.81,69.63,3.18
2026-06-12,KAHN,temp,82.58,83.39,-0.81
2026-06-12,KAHN,wind,2.17,4.3,-2.14
2026-06-12,KWDR,pressure,1012.15,1016.73,-4.58
2026-06-12,KWDR,rh,72.81,71.94,0.87
2026-06-12,KWDR,temp,82.58,82.03,0.54
2026-06-12,WATUGA,pressure,1012.15,1022.35,-10.2
2026-06-12,WATUGA,rh,72.81,88.5,-15.69
2026-06-12,WATUGA,temp,82.58,76.25,6.33
2026-06-12,WATUGA,wind,2.17,1.9,0.27
2026-06-13,KAHN,pressure,1012.08,1015.58,-3.51
2026-06-13,KAHN,rh,68.19,63.79,4.4
2026-06-13,KAHN,temp,81.9,83.34,-1.44
2026-06-13,KAHN,wind,1.99,3.6,-1.61
2026-06-13,KWDR,pressure,1012.08,1016.67,-4.59
2026-06-13,KWDR,rh,68.19,64.99,3.2
2026-06-13,KWDR,temp,81.9,81.8,0.1
2026-06-13,WATUGA,pressure,1012.08,1018.96,-6.89
2026-06-13,WATUGA,rh,68.19,80.2,-12.01
2026-06-13,WATUGA,temp,81.9,78.0,3.9
2026-06-13,WATUGA,wind,1.99,2.7,-0.71
2026-06-14,KAHN,pressure,1010.48,1013.55,-3.07
2026-06-14,KAHN,rh,81.42,80.47,0.95
2026-06-14,KAHN,temp,77.66,78.32,-0.65
2026-06-14,KAHN,wind,2.82,4.53,-1.71
2026-06-14,KWDR,pressure,1010.48,1014.82,-4.34
2026-06-14,KWDR,rh,81.42,78.42,3.0
2026-06-14,KWDR,temp,77.66,78.2,-0.54
2026-06-14,WATUGA,pressure,1010.48,1016.59,-6.11
2026-06-14,WATUGA,rh,81.42,72.7,8.72
2026-06-14,WATUGA,temp,77.66,81.4,-3.74
2026-06-14,WATUGA,wind,2.82,3.1,-0.28
2026-06-15,KAHN,pressure,1010.05,1013.32,-3.27
2026-06-15,KAHN,rh,74.98,77.59,-2.61
2026-06-15,KAHN,temp,75.37,75.32,0.05
2026-06-15,KAHN,wind,3.12,5.99,-2.88
2026-06-15,KWDR,pressure,1010.05,1014.53,-4.48
2026-06-15,KWDR,rh,74.98,73.39,1.58
2026-06-15,KWDR,temp,75.37,74.29,1.08
2026-06-15,WATUGA,pressure,1010.05,1016.26,-6.2
2026-06-15,WATUGA,rh,74.98,69.8,5.18
2026-06-15,WATUGA,temp,75.37,82.6,-7.23
2026-06-15,WATUGA,wind,3.12,5.1,-1.98
2026-06-16,KAHN,pressure,1009.68,1012.37,-2.69
2026-06-16,KAHN,rh,88.61,92.47,-3.86
2026-06-16,KAHN,temp,69.25,69.34,-0.09
2026-06-16,KAHN,wind,1.59,1.67,-0.08
2026-06-16,KWDR,pressure,1009.68,1013.85,-4.17
2026-06-16,KWDR,rh,88.61,85.84,2.77
2026-06-16,KWDR,temp,69.25,68.43,0.82
2026-06-16,WATUGA,pressure,1009.68,1016.26,-6.57
2026-06-16,WATUGA,rh,88.61,64.6,24.01
2026-06-16,WATUGA,temp,69.25,82.3,-13.05
2026-06-16,WATUGA,wind,1.59,4.5,-2.91
2026-06-17,KAHN,pressure,1008.47,1012.0,-3.53
2026-06-17,KAHN,rh,82.61,88.8,-6.19
2026-06-17,KAHN,temp,75.54,73.03,2.51
2026-06-17,KAHN,wind,2.61,2.35,0.26
2026-06-17,KWDR,pressure,1008.47,1012.98,-4.5
2026-06-17,KWDR,rh,82.61,82.81,-0.2
2026-06-17,KWDR,temp,75.54,74.33,1.22
2026-06-17,WATUGA,pressure,1008.47,1014.22,-5.75
2026-06-17,WATUGA,rh,82.61,82.4,0.21
2026-06-17,WATUGA,temp,75.54,80.25,-4.71
2026-06-17,WATUGA,wind,2.61,6.0,-3.39
2026-06-18,KAHN,pressure,1010.23,1014.03,-3.8
2026-06-18,KAHN,rh,89.4,91.68,-2.28
2026-06-18,KAHN,temp,75.89,74.49,1.4
2026-06-18,KAHN,wind,2.59,4.13,-1.54
2026-06-18,KWDR,pressure,1010.23,1014.65,-4.42
2026-06-18,KWDR,rh,89.4,89.06,0.35
2026-06-18,KWDR,temp,75.89,74.66,1.23
2026-06-18,WATUGA,pressure,1010.23,1013.89,-3.65
2026-06-18,WATUGA,rh,89.4,75.1,14.3
2026-06-18,WATUGA,temp,75.89,75.6,0.29
2026-06-18,WATUGA,wind,2.59,6.7,-4.11
2026-06-19,KAHN,pressure,1009.72,1012.96,-3.24
2026-06-19,KAHN,rh,80.57,83.23,-2.66
2026-06-19,KAHN,temp,77.98,76.96,1.02
2026-06-19,KAHN,wind,3.02,5.73,-2.7
2026-06-19,KWDR,pressure,1009.72,1014.33,-4.61
2026-06-19,KWDR,rh,80.57,78.82,1.75
2026-06-19,KWDR,temp,77.98,77.03,0.95
2026-06-19,WATUGA,pressure,1009.72,1013.21,-3.49
2026-06-19,WATUGA,rh,80.57,90.7,-10.13
2026-06-19,WATUGA,temp,77.98,68.45,9.53
2026-06-19,WATUGA,wind,3.02,3.5,-0.48
2026-06-20,KAHN,pressure,1012.74,1016.16,-3.42
2026-06-20,KAHN,rh,78.23,71.88,6.34
2026-06-20,KAHN,temp,75.45,76.61,-1.16
2026-06-20,KAHN,wind,1.27,2.0,-0.73
2026-06-20,KWDR,pressure,1012.74,1017.07,-4.33
2026-06-20,KWDR,rh,78.23,74.97,3.26
2026-06-20,KWDR,temp,75.45,74.72,0.72
2026-06-20,WATUGA,pressure,1012.74,1012.87,-0.13
2026-06-20,WATUGA,rh,78.23,82.1,-3.87
2026-06-20,WATUGA,temp,75.45,77.0,-1.55
2026-06-20,WATUGA,wind,1.27,5.7,-4.43
2026-06-21,KAHN,pressure,1011.52,1015.02,-3.5
2026-06-21,KAHN,rh,80.23,78.93,1.3
2026-06-21,KAHN,temp,77.23,77.75,-0.52
2026-06-21,KAHN,wind,1.84,0.92,0.92
2026-06-21,KWDR,pressure,1011.52,1015.92,-4.4
2026-06-21,KWDR,rh,80.23,78.14,2.09
2026-06-21,KWDR,temp,77.23,76.69,0.54
2026-06-21,WATUGA,pressure,1011.52,1014.22,-2.7
2026-06-21,WATUGA,rh,80.23,90.6,-10.37
2026-06-21,WATUGA,temp,77.23,77.55,-0.32
2026-06-21,WATUGA,wind,1.84,6.2,-4.36
2026-06-22,KAHN,pressure,1012.77,1016.53,-3.76
2026-06-22,KAHN,rh,83.88,78.71,5.17
2026-06-22,KAHN,temp,77.84,79.7,-1.86
2026-06-22,KAHN,wind,2.78,4.81,-2.03
2026-06-22,KWDR,pressure,1012.77,1017.21,-4.43
2026-06-22,KWDR,rh,83.88,82.19,1.7
2026-06-22,KWDR,temp,77.84,77.28,0.56
2026-06-22,WATUGA,pressure,1012.77,1013.89,-1.11
2026-06-22,WATUGA,rh,83.88,78.4,5.48
2026-06-22,WATUGA,temp,77.84,78.5,-0.66
2026-06-22,WATUGA,wind,2.78,6.9,-4.12
2026-06-23,KAHN,pressure,1013.48,1016.51,-3.04
2026-06-23,KAHN,rh,74.87,74.57,0.3
2026-06-23,KAHN,temp,76.19,76.41,-0.22
2026-06-23,KAHN,wind,3.94,8.65,-4.71
2026-06-23,KWDR,pressure,1013.48,1017.89,-4.41
2026-06-23,KWDR,rh,74.87,74.7,0.17
2026-06-23,KWDR,temp,76.19,74.67,1.53
2026-06-23,WATUGA,pressure,1013.48,1016.59,-3.12
2026-06-23,WATUGA,rh,74.87,72.7,2.17
2026-06-23,WATUGA,temp,76.19,76.25,-0.06
2026-06-23,WATUGA,wind,3.94,2.6,1.34
2026-06-24,KAHN,pressure,1016.13,1019.32,-3.19
2026-06-24,KAHN,rh,72.29,68.15,4.14
2026-06-24,KAHN,temp,72.15,73.27,-1.12
2026-06-24,KAHN,wind,1.28,3.85,-2.57
2026-06-24,KWDR,pressure,1016.13,1020.31,-4.17
2026-06-24,KWDR,rh,72.29,69.61,2.68
2026-06-24,KWDR,temp,72.15,71.52,0.63
2026-06-24,WATUGA,pressure,1016.13,1015.24,0.89
2026-06-24,WATUGA,rh,72.29,78.1,-5.81
2026-06-24,WATUGA,temp,72.15,77.75,-5.6
2026-06-24,WATUGA,wind,1.28,3.1,-1.82
2026-06-25,KAHN,pressure,1015.57,1018.9,-3.33
2026-06-25,KAHN,rh,76.6,72.96,3.64
2026-06-25,KAHN,temp,72.56,73.61,-1.05
2026-06-25,KAHN,wind,1.28,1.34,-0.06
2026-06-25,KWDR,pressure,1015.57,1019.74,-4.17
2026-06-25,KWDR,rh,76.6,74.32,2.28
2026-06-25,KWDR,temp,72.56,72.43,0.13
2026-06-25,WATUGA,pressure,1015.57,1016.59,-1.02
2026-06-25,WATUGA,rh,76.6,80.2,-3.6
2026-06-25,WATUGA,temp,72.56,80.2,-7.64
2026-06-25,WATUGA,wind,1.28,7.1,-5.82
2026-06-26,KAHN,pressure,1016.27,1019.82,-3.55
2026-06-26,KAHN,rh,77.12,73.25,3.87
2026-06-26,KAHN,temp,77.03,78.91,-1.88
2026-06-26,KAHN,wind,1.62,1.01,0.62
2026-06-26,KWDR,pressure,1016.27,1020.71,-4.43
2026-06-26,KWDR,rh,77.12,75.47,1.65
2026-06-26,KWDR,temp,77.03,76.44,0.59
2026-06-26,WATUGA,pressure,1016.27,1017.27,-1.0
2026-06-26,WATUGA,rh,77.12,72.8,4.32
2026-06-26,WATUGA,temp,77.03,74.9,2.13
2026-06-26,WATUGA,wind,1.62,9.7,-8.08
2026-06-27,KAHN,pressure,1015.22,1018.89,-3.66
2026-06-27,KAHN,rh,83.78,78.6,5.17
2026-06-27,KAHN,temp,79.37,80.96,-1.59
2026-06-27,KAHN,wind,1.85,2.91,-1.06
2026-06-27,KWDR,pressure,1015.22,1019.75,-4.53
2026-06-27,KWDR,rh,83.78,77.11,6.67
2026-06-27,KWDR,temp,79.37,79.8,-0.43
2026-06-27,WATUGA,pressure,1015.22,1019.64,-4.42
2026-06-27,WATUGA,rh,83.78,67.2,16.58
2026-06-27,WATUGA,temp,79.37,73.35,6.02
2026-06-27,WATUGA,wind,1.85,3.4,-1.55
2026-06-28,KAHN,pressure,1013.44,1017.07,-3.63
2026-06-28,KAHN,rh,71.96,68.34,3.62
2026-06-28,KAHN,temp,81.62,83.11,-1.49
2026-06-28,KAHN,wind,2.81,6.1,-3.3
2026-06-28,KWDR,pressure,1013.44,1018.07,-4.64
2026-06-28,KWDR,rh,71.96,69.21,2.76
2026-06-28,KWDR,temp,81.62,81.8,-0.18
2026-06-28,WATUGA,pressure,1013.44,1019.3,-5.87
2026-06-28,WATUGA,rh,71.96,71.5,0.46
2026-06-28,WATUGA,temp,81.62,73.7,7.92
2026-06-28,WATUGA,wind,2.81,2.1,0.71
2026-06-29,KAHN,pressure,1014.54,1018.58,-4.04
2026-06-29,KAHN,rh,74.08,73.02,1.06
2026-06-29,KAHN,temp,83.04,83.45,-0.4
2026-06-29,KAHN,wind,1.66,4.49,-2.83
2026-06-29,KWDR,pressure,1014.54,1019.31,-4.77
2026-06-29,KWDR,rh,74.08,77.84,-3.76
2026-06-29,KWDR,temp,83.04,78.58,4.46
2026-06-29,WATUGA,pressure,1014.54,1019.98,-5.44
2026-06-29,WATUGA,rh,74.08,72.5,1.58
2026-06-29,WATUGA,temp,83.04,78.2,4.84
2026-06-29,WATUGA,wind,1.66,2.3,-0.64
2026-06-30,KAHN,pressure,1015.9,1019.75,-3.85
2026-06-30,KAHN,rh,81.53,77.32,4.21
2026-06-30,KAHN,temp,82.58,83.82,-1.24
2026-06-30,KAHN,wind,1.5,4.2,-2.7
2026-06-30,KWDR,pressure,1015.9,1020.71,-4.81
2026-06-30,KWDR,rh,81.53,73.37,8.16
2026-06-30,KWDR,temp,82.58,83.33,-0.75
2026-06-30,WATUGA,pressure,1015.9,1018.96,-3.07
2026-06-30,WATUGA,rh,81.53,81.8,-0.27
2026-06-30,WATUGA,temp,82.58,80.7,1.88
2026-06-30,WATUGA,wind,1.5,4.9,-3.4
2026-07-01,KAHN,pressure,1015.42,1019.35,-3.93
2026-07-01,KAHN,rh,78.55,74.47,4.08
2026-07-01,KAHN,temp,83.48,84.41,-0.93
2026-07-01,KAHN,wind,1.48,1.55,-0.07
2026-07-01,KWDR,pressure,1015.42,1020.25,-4.82
2026-07-01,KWDR,rh,78.55,83.87,-5.32
2026-07-01,KWDR,temp,83.48,79.82,3.65
2026-07-01,WATUGA,pressure,1015.42,1017.61,-2.19
2026-07-01,WATUGA,rh,78.55,70.5,8.05
2026-07-01,WATUGA,temp,83.48,81.15,2.33
2026-07-01,WATUGA,wind,1.48,6.4,-4.92
2026-07-02,KAHN,pressure,1015.33,1019.33,-4.0
2026-07-02,KAHN,rh,75.1,69.36,5.74
2026-07-02,KAHN,temp,84.69,85.65,-0.96
2026-07-02,KAHN,wind,1.45,1.7,-0.25
2026-07-02,KWDR,pressure,1015.33,1020.28,-4.95
2026-07-02,KWDR,rh,75.1,62.85,12.26
2026-07-02,KWDR,temp,84.69,87.43,-2.73
2026-07-02,WATUGA,pressure,1015.33,1018.63,-3.29
2026-07-02,WATUGA,rh,75.1,71.1,4.0
2026-07-02,WATUGA,temp,84.69,84.25,0.44
2026-07-02,WATUGA,wind,1.45,4.1,-2.65
2026-07-03,KAHN,pressure,1015.53,1019.27,-3.74
2026-07-03,KAHN,rh,75.04,68.2,6.84
2026-07-03,KAHN,temp,81.57,84.59,-3.02
2026-07-03,KAHN,wind,1.56,2.44,-0.88
2026-07-03,KWDR,pressure,1015.53,1020.22,-4.7
2026-07-03,KWDR,rh,75.04,70.4,4.64
2026-07-03,KWDR,temp,81.57,81.76,-0.19
2026-07-03,WATUGA,pressure,1015.53,1019.98,-4.45
2026-07-03,WATUGA,rh,75.04,74.9,0.14
2026-07-03,WATUGA,temp,81.57,84.3,-2.73
2026-07-03,WATUGA,wind,1.56,3.7,-2.14
2026-07-04,KAHN,pressure,1013.28,1016.89,-3.61
2026-07-04,KAHN,rh,76.57,70.56,6.0
2026-07-04,KAHN,temp,81.26,83.94,-2.69
2026-07-04,KAHN,wind,1.69,1.63,0.06
2026-07-04,KWDR,pressure,1013.28,1017.96,-4.68
2026-07-04,KWDR,rh,76.57,80.0,-3.43
2026-07-04,KWDR,temp,81.26,79.05,2.21
2026-07-04,WATUGA,pressure,1013.28,1019.64,-6.36
2026-07-04,WATUGA,rh,76.57,73.8,2.77
2026-07-04,WATUGA,temp,81.26,85.15,-3.89
2026-07-04,WATUGA,wind,1.69,2.2,-0.51
2026-07-05,KAHN,pressure,1011.18,1014.62,-3.44
2026-07-05,KAHN,rh,71.8,64.05,7.76
2026-07-05,KAHN,temp,81.39,84.08,-2.69
2026-07-05,KAHN,wind,2.58,3.68,-1.1
2026-07-05,KWDR,pressure,1011.18,1015.82,-4.64
2026-07-05,KWDR,rh,71.8,75.32,-3.51
2026-07-05,KWDR,temp,81.39,79.5,1.89
2026-07-05,WATUGA,pressure,1011.18,1019.64,-8.46
2026-07-05,WATUGA,rh,71.8,70.8,1.0
2026-07-05,WATUGA,temp,81.39,85.85,-4.46
2026-07-05,WATUGA,wind,2.58,2.3,0.28
2026-07-06,KAHN,pressure,1011.73,1015.34,-3.61
2026-07-06,KAHN,rh,79.91,72.28,7.64
2026-07-06,KAHN,temp,80.32,82.14,-1.82
2026-07-06,KAHN,wind,2.23,1.89,0.35
2026-07-06,KWDR,pressure,1011.73,1016.34,-4.61
2026-07-06,KWDR,rh,79.91,78.51,1.4
2026-07-06,KWDR,temp,80.32,79.71,0.61
2026-07-06,WATUGA,pressure,1011.73,1019.64,-7.91
2026-07-06,WATUGA,rh,79.91,73.9,6.01
2026-07-06,WATUGA,temp,80.32,83.45,-3.13
2026-07-06,WATUGA,wind,2.23,2.5,-0.27
2026-07-07,KAHN,pressure,1013.2,1016.86,-3.67
2026-07-07,KAHN,rh,73.84,70.48,3.36
2026-07-07,KAHN,temp,81.82,82.03,-0.21
2026-07-07,KAHN,wind,2.68,3.76,-1.08
2026-07-07,KWDR,pressure,1013.2,1017.76,-4.56
2026-07-07,KWDR,rh,73.84,70.59,3.25
2026-07-07,KWDR,temp,81.82,81.1,0.72
2026-07-07,WATUGA,pressure,1013.2,1017.27,-4.08
2026-07-07,WATUGA,rh,73.84,73.3,0.54
2026-07-07,WATUGA,temp,81.82,82.65,-0.83
2026-07-07,WATUGA,wind,2.68,3.0,-0.32
2026-07-09,KAHN,pressure,1014.29,1017.63,-3.34
2026-07-09,KAHN,rh,75.08,66.14,8.93
2026-07-09,KAHN,temp,79.48,82.24,-2.76
2026-07-09,KAHN,wind,2.47,4.73,-2.26
2026-07-09,KWDR,pressure,1014.29,1018.76,-4.47
2026-07-09,KWDR,rh,75.08,72.3,2.77
2026-07-09,KWDR,temp,79.48,79.49,-0.02
2026-07-09,WATUGA,pressure,1014.29,1015.92,-1.63
2026-07-09,WATUGA,rh,75.08,80.1,-5.02
2026-07-09,WATUGA,temp,79.48,81.65,-2.17
2026-07-09,WATUGA,wind,2.47,3.4,-0.93
2026-07-10,KAHN,pressure,1014.78,1018.34,-3.55
2026-07-10,KAHN,rh,87.2,83.3,3.89
2026-07-10,KAHN,temp,76.94,77.03,-0.1
2026-07-10,KAHN,wind,2.32,3.58,-1.27
2026-07-10,KWDR,pressure,1014.78,1019.14,-4.36
2026-07-10,KWDR,rh,87.2,81.69,5.51
2026-07-10,KWDR,temp,76.94,78.14,-1.2
2026-07-10,WATUGA,pressure,1014.78,1017.27,-2.49
2026-07-10,WATUGA,rh,87.2,72.1,15.1
2026-07-10,WATUGA,temp,76.94,81.25,-4.31
2026-07-10,WATUGA,wind,2.32,4.5,-2.18
2026-07-11,KAHN,pressure,1015.58,1019.54,-3.95
2026-07-11,KAHN,rh,92.58,88.79,3.8
2026-07-11,KAHN,temp,75.38,75.59,-0.2
2026-07-11,KAHN,wind,1.98,3.91,-1.93
2026-07-11,KWDR,pressure,1015.58,1019.93,-4.35
2026-07-11,KWDR,rh,92.58,87.57,5.02
2026-07-11,KWDR,temp,75.38,75.31,0.07
2026-07-11,WATUGA,pressure,1015.58,1018.29,-2.71
2026-07-11,WATUGA,rh,92.58,68.2,24.38
2026-07-11,WATUGA,temp,75.38,81.85,-6.47
2026-07-11,WATUGA,wind,1.98,5.3,-3.32
2026-07-12,KAHN,pressure,1015.43,1018.93,-3.5
2026-07-12,KAHN,rh,91.54,88.17,3.38
2026-07-12,KAHN,temp,76.09,76.89,-0.8
2026-07-12,KAHN,wind,1.75,2.66,-0.91
2026-07-12,KWDR,pressure,1015.43,1019.85,-4.42
2026-07-12,KWDR,rh,91.54,82.08,9.47
2026-07-12,KWDR,temp,76.09,77.34,-1.24
2026-07-12,WATUGA,pressure,1015.43,1018.29,-2.86
2026-07-12,WATUGA,rh,91.54,73.6,17.94
2026-07-12,WATUGA,temp,76.09,82.4,-6.31
2026-07-12,WATUGA,wind,1.75,5.4,-3.65
2026-07-13,KAHN,pressure,1015.32,1018.99,-3.67
2026-07-13,KAHN,rh,94.93,94.32,0.61
2026-07-13,KAHN,temp,74.84,74.79,0.05
2026-07-13,KAHN,wind,1.47,2.43,-0.96
2026-07-13,KWDR,pressure,1015.32,1019.71,-4.39
2026-07-13,KWDR,rh,94.93,82.16,12.77
2026-07-13,KWDR,temp,74.84,77.7,-2.86
2026-07-13,WATUGA,pressure,1015.32,1018.63,-3.31
2026-07-13,WATUGA,rh,94.93,85.3,9.63
2026-07-13,WATUGA,temp,74.84,79.5,-4.66
2026-07-13,WATUGA,wind,1.47,4.4,-2.93
2026-07-14,KAHN,pressure,1016.72,1020.37,-3.65
2026-07-14,KAHN,rh,97.75,92.93,4.83
2026-07-14,KAHN,temp,73.67,74.33,-0.66
2026-07-14,KAHN,wind,1.78,6.42,-4.64
2026-07-14,KWDR,pressure,1016.72,1021.19,-4.48
2026-07-14,KWDR,rh,97.75,87.28,10.48
2026-07-14,KWDR,temp,73.67,75.47,-1.8
2026-07-14,WATUGA,pressure,1016.72,1019.3,-2.59
2026-07-14,WATUGA,rh,97.75,90.7,7.05
2026-07-14,WATUGA,temp,73.67,78.2,-4.53
2026-07-14,WATUGA,wind,1.78,4.4,-2.62
2026-07-15,KAHN,pressure,1015.56,1019.51,-3.95
2026-07-15,KAHN,rh,88.49,81.71,6.78
2026-07-15,KAHN,temp,78.34,79.6,-1.26
2026-07-15,KAHN,wind,1.37,1.83,-0.45
2026-07-15,KWDR,pressure,1015.56,1020.21,-4.65
2026-07-15,KWDR,rh,88.49,74.54,13.96
2026-07-15,KWDR,temp,78.34,81.35,-3.01
2026-07-15,WATUGA,pressure,1015.56,1019.3,-3.74
2026-07-15,WATUGA,rh,88.49,88.2,0.29
2026-07-15,WATUGA,temp,78.34,79.55,-1.21
2026-07-15,WATUGA,wind,1.37,3.3,-1.93
2026-07-16,KAHN,pressure,1014.31,1017.67,-3.36
2026-07-16,KAHN,rh,81.79,79.59,2.21
2026-07-16,KAHN,temp,80.54,80.94,-0.4
2026-07-16,KAHN,wind,2.48,3.63,-1.15
2026-07-16,KWDR,pressure,1014.31,1019.02,-4.7
2026-07-16,KWDR,rh,81.79,68.99,12.81
2026-07-16,KWDR,temp,80.54,84.02,-3.48
2026-07-16,WATUGA,pressure,1014.31,1018.96,-4.65
2026-07-16,WATUGA,rh,81.79,93.0,-11.21
2026-07-16,WATUGA,temp,80.54,78.2,2.34
2026-07-16,WATUGA,wind,2.48,2.7,-0.22
2026-07-17,KAHN,pressure,1014.39,1017.91,-3.52
2026-07-17,KAHN,rh,81.92,83.61,-1.69
2026-07-17,KAHN,temp,80.79,79.96,0.84
2026-07-17,KAHN,wind,1.66,4.71,-3.05
2026-07-17,KWDR,pressure,1014.39,1019.15,-4.76
2026-07-17,KWDR,rh,81.92,70.32,11.6
2026-07-17,KWDR,temp,80.79,83.69,-2.9
2026-07-17,WATUGA,pressure,1014.39,1020.66,-6.27
2026-07-17,WATUGA,rh,81.92,94.7,-12.78
2026-07-17,WATUGA,temp,80.79,75.4,5.39
2026-07-17,WATUGA,wind,1.66,4.8,-3.14
2026-07-18,KAHN,pressure,1012.7,1016.58,-3.88
2026-07-18,KAHN,rh,82.92,86.63,-3.71
2026-07-18,KAHN,temp,80.96,78.94,2.02
2026-07-18,KAHN,wind,2.14,2.41,-0.27
2026-07-18,KWDR,pressure,1012.7,1016.64,-3.94
2026-07-18,KWDR,rh,82.92,63.77,19.16
2026-07-18,KWDR,temp,80.96,85.95,-4.99
2026-07-18,WATUGA,pressure,1012.7,1019.3,-6.6
2026-07-18,WATUGA,rh,82.92,82.2,0.72
2026-07-18,WATUGA,temp,80.96,81.1,-0.14
2026-07-18,WATUGA,wind,2.14,2.2,-0.06
2026-07-19,KAHN,pressure,1011.36,1014.97,-3.61
2026-07-19,KAHN,rh,82.48,80.48,2.0
2026-07-19,KAHN,temp,80.75,80.51,0.23
2026-07-19,KAHN,wind,2.08,3.45,-1.37
2026-07-19,KWDR,pressure,1011.36,1015.95,-4.59
2026-07-19,KWDR,rh,82.48,69.97,12.51
2026-07-19,KWDR,temp,80.75,82.14,-1.4
2026-07-19,WATUGA,pressure,1011.36,1018.29,-6.93
2026-07-19,WATUGA,rh,82.48,78.6,3.88
2026-07-19,WATUGA,temp,80.75,82.6,-1.85
2026-07-19,WATUGA,wind,2.08,5.7,-3.62
2026-07-20,KAHN,pressure,1011.07,1014.64,-3.57
2026-07-20,KAHN,rh,78.46,73.84,4.63
2026-07-20,KAHN,temp,81.7,82.8,-1.1
2026-07-20,KAHN,wind,1.82,1.73,0.09
2026-07-20,KWDR,pressure,1011.07,1015.61,-4.55
2026-07-20,KWDR,rh,78.46,74.06,4.41
2026-07-20,KWDR,temp,81.7,81.24,0.46
2026-07-20,WATUGA,pressure,1011.07,1018.63,-7.56
2026-07-20,WATUGA,rh,78.46,78.2,0.26
2026-07-20,WATUGA,temp,81.7,84.45,-2.75
